Nam,Location
Baylor,"Waco, Texas"
Loyola,"Chicago, Illinois"
Syracuse,"Syracuse, New York"
Alabama,"Tuscaloosa, Alabama"
Michigan,"Ann Arbor, Michigan"
Florida St,"Tallahassee, Florida"
UCLA,"Los Angeles, California"
Villanova,"Villanova, Pennsylvania"
Oregon,"Eugene, Oregon"
Arkansas,"Fayetteville, Arkansas"
Oral Roberts,"Tulsa, Oklahoma"
Gonzaga,"Spokane, Washington"
Creighton,"Omaha, Nebraska"
USC,"Los Angeles, California"
Houston,"Houston, Texas"
Abilene Christian,"Abilene, Texas"
Alcorn State,"Alcorn State, Mississippi"
Arizona,"Tucson, Arizona"
Arizona State,"Tempe, Arizona"
Arkansas-Pine Bluff,"Pine Bluff, Arkansas"
Auburn,"Auburn, Alabama"
BYU,"Provo, Utah"
Bacone,"Muskogee, Oklahoma"
Boise State,"Boise, Idaho"
Boston College,"Chestnut Hill, Massachusetts"
Bradley,"Peoria, Illinois"
Bryant,"Smithfield, Rhode Island"
Buffalo,"Buffalo, New York"
Butler,"Indianapolis, Indiana"
California,"Berkeley, California"
California Baptist,"Riverside, California"
Central Arkansas,"Conway, Arkansas"
Chicago State,"Chicago, Illinois"
Cincinnati,"Cincinnati, Ohio"
Clemson,"Clemson, South Carolina"
Cleveland State,"Cleveland, Ohio"
Colgate,"Hamilton, New York"
Colorado,"Boulder, Colorado"
DePaul,"Chicago, Illinois"
Denver,"Denver, Colorado"
Dixie State,"St. George, Utah"
Drake,"Des Moines, Iowa"
Duke,"Durham, North Carolina"
ETSU,"Johnson City, Tennessee"
East Carolina,"Greenville, North Carolina"
Eastern Washington,"Cheney, Washington"
Evansville,"Evansville, Indiana"
Florida,"Gainesville, Florida"
Florida A&M,"Tallahassee, Florida"
Furman,"Greenville, South Carolina"
Gardner-Webb,"Boiling Springs, North Carolina"
Georgetown,"Washington, District of Columbia"
Georgia,"Athens, Georgia"
Georgia Tech,"Atlanta, Georgia"
Gonzaga,"Spokane, Washington"
Hartford,"West Hartford, Connecticut"
Illinois,"Champaign, Illinois"
Illinois State,"Normal, Illinois"
Indiana,"Bloomington, Indiana"
Indiana State,"Terre Haute, Indiana"
Iona,"New Rochelle, New York"
Iowa,"Iowa City, Iowa"
Iowa State,"Ames, Iowa"
Jacksonville State,"Jacksonville, Alabama"
Kansas,"Lawrence, Kansas"
Kansas State,"Manhattan, Kansas"
Kennesaw State,"Kennesaw, Georgia"
Kentucky,"Lexington, Kentucky"
LSU,"Baton Rouge, Louisiana"
Lamar,"Beaumont, Texas"
Lewis,"Romeoville, Illinois"
Lipscomb,"Nashville, Tennessee"
Louisiana,"Lafayette, Louisiana"
Louisville,"Louisville, Kentucky"
Loyola Marymount,"Los Angeles, California"
Marquette,"Milwaukee, Wisconsin"
Maryland,"College Park, Maryland"
Memphis,"Memphis, Tennessee"
Miami (FL),"Coral Gables, Florida"
Michigan State,"East Lansing, Michigan"
Mississippi State,"Mississippi State, Mississippi"
Mississippi Valley State,"Itta Bena, Mississippi"
Missouri,"Columbia, Missouri"
Missouri State,"Springfield, Missouri"
Montana,"Missoula, Montana"
NC State,"Raleigh, North Carolina"
Nebraska,"Lincoln, Nebraska"
Niagara,"Niagara University, New York"
Norfolk State,"Norfolk, Virginia"
North Dakota,"Grand Forks, North Dakota"
North Dakota State,"Fargo, North Dakota"
North Florida,"Jacksonville, Florida"
North Texas,"Denton, Texas"
Northeastern,"Boston, Massachusetts"
Northern Arizona,"Flagstaff, Arizona"
Northern Iowa,"Cedar Falls, Iowa"
Northwest University,"Evanston, Illinois"
Northwestern State,"Natchitoches, Louisiana"
Notre Dame,"Notre Dame, Indiana"
Ohio,"Athens, Ohio"
Ohio State,"Columbus, Ohio"
Oklahoma,"Norman, Oklahoma"
Oklahoma State,"Stillwater, Oklahoma"
Ole Miss,"University, Mississippi"
Omaha,"Omaha, Nebraska"
Oregon State,"Corvallis, Oregon"
Our Lady of the Lake,"San Antonio, Texas"
Pacific,"Stockton, California"
Pepperdine,"Malibu, California"
Pitt,"Pittsburgh, Pennsylvania"
Portland,"Portland, Oregon"
Portland State,"Portland, Oregon"
Providence,"Providence, Rhode Island"
Richmond,"Richmond, Virginia"
Rider,"Lawrenceville, New Jersey"
Rogers State,"Claremore, Oklahoma"
Rutgers,"New Brunswick, New Jersey"
SMU,"Dallas, Texas"
Saint Mary's,"Moraga, California"
San Diego,"San Diego, California"
San Diego State,"San Diego, California"
San Francisco,"San Francisco, California"
Santa Clara,"Santa Clara, California"
Seattle,"Seattle, Washington"
Seton Hall,"South Orange, New Jersey"
South Carolina,"Columbia, South Carolina"
South Dakota,"Vermillion, South Dakota"
South Dakota State,"Brookings, South Dakota"
South Florida,"Tampa, Florida"
Southern,"Baton Rouge, Louisiana"
Southern Illinois,"Carbondale, Illinois"
Southwestern Christian,"Bethany, Oklahoma"
St. Francis (IL),"Joliet, Illinois"
St. John's (NY),"Queens, New York"
St. Joseph's,"Philadelphia, Pennsylvania"
Stanford,"Stanford, California"
Stephen F. Austin,"Nacogdoches, Texas"
TCU,"Fort Worth, Texas"
Temple,"Philadelphia, Pennsylvania"
Tennessee,"Knoxville, Tennessee"
Texas,"Austin, Texas"
Texas A&M,"College Station, Texas"
Texas Tech,"Lubbock, Texas"
Texas-Arlington,"Arlington, Texas"
Tulane,"New Orleans, Louisiana"
Tulsa,"Tulsa, Oklahoma"
UC-Irvine,"Irvine, California"
UC-Riverside,"Riverside, California"
UCF,"Orlando, Florida"
UCLA,"Los Angeles, California"
UCSB,"La Jolla, California"
UConn,"Storrs, Connecticut"
UIC,"Chicago, Illinois"
UMKC,"Kansas City, Missouri"
UNC,"Chapel Hill, North Carolina"
UNC Greensboro,"Greensboro, North Carolina"
UNLV,"Las Vegas, Nevada"
UTSA,"San Antonio, Texas"
Utah,"Salt Lake City, Utah"
Valparaiso,"Valparaiso, Indiana"
Vanderbilt,"Nashville, Tennessee"
Virginia,"Charlottesville, Virginia"
Virginia Tech,"Blacksburg, Virginia"
Wake Forest,"Winston-Salem, North Carolina"
Washington,"Seattle, Washington"
Washington State,"Pullman, Washington"
West Virginia,"Morgantown, West Virginia"
Western Illinois,"Macomb, Illinois"
Western Kentucky,"Bowling Green, Kentucky"
Wichita State,"Wichita, Kansas"
Winthrop,"Rock Hill, South Carolina"
Wisconsin,"Madison, Wisconsin"
Wyoming,"Laramie, Wyoming"
Xavier,"Cincinnati, Ohio"